Car,Lap,NumTyres,StopNumber
1,1,0,1
1,2,0,2
1,4,0,3
1,6,0,4
1,8,0,5
1,10,0,6
1,12,0,7
1,14,0,8
1,16,0,9
1,18,0,10
1,20,0,11
1,22,0,12
1,24,0,13
1,26,0,14
1,28,0,15
1,30,0,16
1,32,0,17
1,34,0,18
1,37,4,19
1,38,0,20
1,40,0,21
1,42,0,22
1,43,0,23
1,45,0,24
1,47,0,25
1,49,0,26
1,51,0,27
1,53,0,28
1,55,0,29
1,57,0,30
1,59,0,31
1,61,0,32
1,63,0,33
1,65,0,34
1,67,0,35
1,69,0,36
1,71,0,37
1,73,0,38
1,75,0,39
1,77,0,40
1,79,0,41
1,81,0,42
1,83,0,43
1,85,0,44
1,87,0,45
1,89,0,46
1,91,0,47
1,93,0,48
1,96,8,49
1,97,0,50
1,99,0,51
1,101,0,52
1,103,0,53
1,105,0,54
1,107,0,55
1,109,0,56
1,111,0,57
1,113,0,58
1,115,0,59
1,117,0,60
1,119,0,61
1,121,0,62
1,123,0,63
1,125,0,64
1,127,0,65
1,129,0,66
1,131,0,67
1,133,0,68
1,135,0,69
1,136,0,70
10,2,0,1
10,4,0,2
10,6,0,3
10,8,0,4
10,10,0,5
10,12,0,6
10,14,0,7
10,16,0,8
10,18,0,9
10,20,0,10
10,22,0,11
10,24,0,12
10,26,0,13
10,28,0,14
10,30,0,15
10,32,0,16
10,34,0,17
10,36,0,18
10,38,0,19
10,41,4,20
10,42,0,21
10,44,0,22
10,46,0,23
10,48,0,24
10,50,0,25
10,52,0,26
10,54,0,27
10,56,0,28
10,58,0,29
10,60,0,30
10,62,0,31
10,64,0,32
10,66,0,33
10,68,0,34
10,70,0,35
10,72,0,36
10,74,0,37
10,76,0,38
10,78,0,39
10,80,0,40
10,82,0,41
10,84,0,42
10,86,0,43
10,88,0,44
10,90,0,45
10,92,0,46
10,94,0,47
10,96,0,48
10,99,8,49
10,100,0,50
10,102,0,51
10,104,0,52
10,106,0,53
10,108,0,54
10,110,0,55
10,112,0,56
10,114,0,57
10,116,0,58
10,118,0,59
10,120,0,60
10,122,0,61
10,124,0,62
10,126,0,63
10,128,0,64
10,130,0,65
10,132,0,66
10,134,0,67
10,136,0,68
10,138,0,69
10,140,0,70
10,141,0,71
10,143,0,72
10,144,0,73
11,2,0,1
11,4,0,2
11,6,0,3
11,8,0,4
11,10,0,5
11,12,0,6
11,14,0,7
11,16,0,8
11,18,0,9
11,20,0,10
11,22,0,11
11,24,0,12
11,26,0,13
11,28,0,14
11,30,0,15
11,32,0,16
11,34,0,17
11,36,0,18
11,37,0,19
11,39,0,20
11,41,0,21
11,43,0,22
11,45,0,23
11,47,0,24
11,49,0,25
11,51,0,26
11,54,4,27
11,55,0,28
