event,session,car,driver,vehicle,lap,time_of_day,s1_kph,parse_error,report_type,round,source_file,extracted_at
RUA,PRACTICE,888,William Brown,Ford Mustang GT,10,1,36,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,777,Declan Fraser,Chev Camaro ZL1,10,1,38,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,11,Jackson Walls,Ford Mustang GT,11,1,39,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,4,Jack Le Brocq,Chev Camaro ZL1,11,1,39,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,3,Aaron Cameron,Ford Mustang GT,11,1,39,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,10,Zach Bates,Chev Camaro ZL1,13,1,36,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,26,Kai Allen,Ford Mustang GT,12,1,35,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,8,Andre Heimgartner,Toyota GR Supra A90,14,1,38,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,2,Ryan Wood,Toyota GR Supra A90,12,1,38,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,88,Broc Feeney,Ford Mustang GT,13,1,38,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,17,Brodie Kostecki,Ford Mustang GT,11,1,39,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,1,Chaz Mostert,Toyota GR Supra A90,13,1,39,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,38,Rylan Gray,Ford Mustang GT,13,1,38,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,19,Matthew Payne,Ford Mustang GT,13,1,39,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,96,Macauley Jones,Toyota GR Supra A90,15,1,39,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,99,Cooper Murray,Chev Camaro ZL1,12,1,37,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,9,Jobe Stewart,Chev Camaro ZL1,15,1,36,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,4,Jack Le Brocq,Chev Camaro ZL1,14,1,39,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,31,Jayden Ojeda,Chev Camaro ZL1,14,1,39,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,11,Jackson Walls,Ford Mustang GT,14,1,38,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
RUA,PRACTICE,7,James Golding,Ford Mustang GT,14,1,35,false,pit_speed,NaN,E:\2026\99_seasonTiming\04_RUA\pit_speed\Practice.pdf,2026-04-22 16:49:19
