event,session,car,driver,vehicle,lap,time_of_day,s1_kph,parse_error,round,source_file,extracted_at,kph,report_type
TAU,P01,17,Brodie Kostecki,Ford Mustang GT,1,1,37,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,38,Rylan Gray,Ford Mustang GT,1,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,19,Matthew Payne,Ford Mustang GT,2,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,18,Anton De Pasquale,Chev Camaro ZL1,2,1,35,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,1,Chaz Mostert,Toyota GR Supra A90,2,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,4,Jack Le Brocq,Chev Camaro ZL1,2,1,36,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,10,Zach Bates,Chev Camaro ZL1,2,1,38,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,3,Aaron Cameron,Ford Mustang GT,2,1,36,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,14,Cameron Hill,Toyota GR Supra A90,2,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,8,Andre Heimgartner,Toyota GR Supra A90,2,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,6,Cameron Waters,Ford Mustang GT,3,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,55,Thomas Randle,Ford Mustang GT,3,1,36,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,88,Broc Feeney,Ford Mustang GT,3,1,36,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,7,James Golding,Ford Mustang GT,3,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,96,Macauley Jones,Toyota GR Supra A90,3,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,99,Cooper Murray,Chev Camaro ZL1,3,1,37,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,9,Jobe Stewart,Chev Camaro ZL1,3,1,36,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,11,Jackson Walls,Ford Mustang GT,4,1,40,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,31,Jayden Ojeda,Chev Camaro ZL1,4,1,40,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,4,Jack Le Brocq,Chev Camaro ZL1,5,1,37,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,38,Rylan Gray,Ford Mustang GT,4,1,38,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,18,Anton De Pasquale,Chev Camaro ZL1,5,1,36,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,20,David Reynolds,Chev Camaro ZL1,5,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,19,Matthew Payne,Ford Mustang GT,5,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,10,Zach Bates,Chev Camaro ZL1,6,1,37,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,2,Ryan Wood,Toyota GR Supra A90,6,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,99,Cooper Murray,Chev Camaro ZL1,6,1,36,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,3,Aaron Cameron,Ford Mustang GT,5,1,37,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,96,Macauley Jones,Toyota GR Supra A90,6,1,38,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,14,Cameron Hill,Toyota GR Supra A90,5,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,888,William Brown,Ford Mustang GT,6,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,55,Thomas Randle,Ford Mustang GT,6,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,777,Declan Fraser,Chev Camaro ZL1,7,1,37,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,88,Broc Feeney,Ford Mustang GT,7,1,38,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,1,Chaz Mostert,Toyota GR Supra A90,5,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,7,James Golding,Ford Mustang GT,7,1,37,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,6,Cameron Waters,Ford Mustang GT,5,1,38,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,11,Jackson Walls,Ford Mustang GT,7,1,40,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,31,Jayden Ojeda,Chev Camaro ZL1,8,1,40,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,18,Anton De Pasquale,Chev Camaro ZL1,7,1,37,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,20,David Reynolds,Chev Camaro ZL1,8,1,37,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,26,Kai Allen,Ford Mustang GT,8,1,40,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,38,Rylan Gray,Ford Mustang GT,7,1,38,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,3,Aaron Cameron,Ford Mustang GT,8,1,40,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,96,Macauley Jones,Toyota GR Supra A90,9,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,9,Jobe Stewart,Chev Camaro ZL1,11,1,38,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,4,Jack Le Brocq,Chev Camaro ZL1,9,1,40,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,17,Brodie Kostecki,Ford Mustang GT,6,1,38,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,88,Broc Feeney,Ford Mustang GT,10,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,2,Ryan Wood,Toyota GR Supra A90,9,1,38,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,99,Cooper Murray,Chev Camaro ZL1,9,1,35,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,6,Cameron Waters,Ford Mustang GT,7,1,38,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,1,Chaz Mostert,Toyota GR Supra A90,7,1,38,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,10,Zach Bates,Chev Camaro ZL1,10,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,19,Matthew Payne,Ford Mustang GT,10,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,7,James Golding,Ford Mustang GT,10,1,40,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,888,William Brown,Ford Mustang GT,9,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,55,Thomas Randle,Ford Mustang GT,9,1,33,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,14,Cameron Hill,Toyota GR Supra A90,9,1,40,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,777,Declan Fraser,Chev Camaro ZL1,11,1,36,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,18,Anton De Pasquale,Chev Camaro ZL1,9,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P01,11,Jackson Walls,Ford Mustang GT,10,1,40,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 1.pdf,2026-04-22 16:11:50,,
TAU,P02,6,Cameron Waters,Ford Mustang GT,1,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 2.pdf,2026-04-22 16:11:50,,
TAU,P02,88,Broc Feeney,Ford Mustang GT,1,1,35,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 2.pdf,2026-04-22 16:11:50,,
TAU,P02,17,Brodie Kostecki,Ford Mustang GT,1,1,36,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 2.pdf,2026-04-22 16:11:50,,
TAU,P02,38,Rylan Gray,Ford Mustang GT,1,1,38,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 2.pdf,2026-04-22 16:11:50,,
TAU,P02,888,William Brown,Ford Mustang GT,1,1,40,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 2.pdf,2026-04-22 16:11:50,,
TAU,P02,4,Jack Le Brocq,Chev Camaro ZL1,1,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 2.pdf,2026-04-22 16:11:50,,
TAU,P02,18,Anton De Pasquale,Chev Camaro ZL1,1,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 2.pdf,2026-04-22 16:11:50,,
TAU,P02,10,Zach Bates,Chev Camaro ZL1,1,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 2.pdf,2026-04-22 16:11:50,,
TAU,P02,777,Declan Fraser,Chev Camaro ZL1,1,1,33,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 2.pdf,2026-04-22 16:11:50,,
TAU,P02,31,Jayden Ojeda,Chev Camaro ZL1,1,1,40,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 2.pdf,2026-04-22 16:11:50,,
TAU,P02,55,Thomas Randle,Ford Mustang GT,2,1,35,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 2.pdf,2026-04-22 16:11:50,,
TAU,P02,19,Matthew Payne,Ford Mustang GT,1,1,39,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 2.pdf,2026-04-22 16:11:50,,
TAU,P02,9,Jobe Stewart,Chev Camaro ZL1,2,1,38,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 2.pdf,2026-04-22 16:11:50,,
TAU,P02,7,James Golding,Ford Mustang GT,1,1,37,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 2.pdf,2026-04-22 16:11:50,,
TAU,P02,11,Jackson Walls,Ford Mustang GT,1,1,40,false,3,E:\2026\99_seasonTiming\03_TAU\Practice 2.pdf,2026-04-22 16:11:50,,
