event,session,car,driver,lap,kph,parse_error,vehicle,report_type,round,source_file,extracted_at
TAS,TOP_TEN_SHOOTOUT_16,2,Ryan Wood,1,249,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Top Ten Shootout 16.pdf,24/05/2026 13:22
TAS,TOP_TEN_SHOOTOUT_16,3,Aaron Cameron,1,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Top Ten Shootout 16.pdf,24/05/2026 13:22
TAS,TOP_TEN_SHOOTOUT_16,17,Brodie Kostecki,1,249,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Top Ten Shootout 16.pdf,24/05/2026 13:22
TAS,TOP_TEN_SHOOTOUT_16,18,Anton De Pasquale,1,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Top Ten Shootout 16.pdf,24/05/2026 13:22
TAS,TOP_TEN_SHOOTOUT_16,19,Matthew Payne,1,249,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Top Ten Shootout 16.pdf,24/05/2026 13:22
TAS,TOP_TEN_SHOOTOUT_16,26,Kai Allen,1,249,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Top Ten Shootout 16.pdf,24/05/2026 13:22
TAS,TOP_TEN_SHOOTOUT_16,31,Jayden Ojeda,1,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Top Ten Shootout 16.pdf,24/05/2026 13:22
TAS,TOP_TEN_SHOOTOUT_16,55,Thomas Randle,1,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Top Ten Shootout 16.pdf,24/05/2026 13:22
TAS,TOP_TEN_SHOOTOUT_16,88,Broc Feeney,1,249,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Top Ten Shootout 16.pdf,24/05/2026 13:22
TAS,TOP_TEN_SHOOTOUT_16,888,William Brown,1,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Top Ten Shootout 16.pdf,24/05/2026 13:22
TAS,SHOOTOUT_16,2,Ryan Wood,1,249,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Shootout 16.pdf,24/05/2026 13:25
TAS,SHOOTOUT_16,3,Aaron Cameron,1,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Shootout 16.pdf,24/05/2026 13:25
TAS,SHOOTOUT_16,17,Brodie Kostecki,1,249,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Shootout 16.pdf,24/05/2026 13:25
TAS,SHOOTOUT_16,18,Anton De Pasquale,1,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Shootout 16.pdf,24/05/2026 13:25
TAS,SHOOTOUT_16,19,Matthew Payne,1,249,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Shootout 16.pdf,24/05/2026 13:25
TAS,SHOOTOUT_16,26,Kai Allen,1,249,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Shootout 16.pdf,24/05/2026 13:25
