event,session,car,driver,lap,kph,parse_error,vehicle
DAR,Q03,1,Chaz Mostert,1,64,false,Toyota
DAR,Q03,1,Chaz Mostert,2,261,false,Toyota
DAR,Q03,1,Chaz Mostert,3,262,false,Toyota
DAR,Q03,1,Chaz Mostert,4,59,false,Toyota
DAR,Q03,1,Chaz Mostert,5,264,false,Toyota
DAR,Q03,1,Chaz Mostert,6,264,false,Toyota
DAR,Q03,2,Ryan Wood,1,67,false,Toyota
DAR,Q03,2,Ryan Wood,2,259,false,Toyota
DAR,Q03,2,Ryan Wood,3,261,false,Toyota
DAR,Q03,2,Ryan Wood,4,259,false,Toyota
DAR,Q03,2,Ryan Wood,5,59,false,Toyota
DAR,Q03,2,Ryan Wood,6,262,false,Toyota
DAR,Q03,2,Ryan Wood,7,262,false,Toyota
DAR,Q03,2,Ryan Wood,8,177,false,Toyota
DAR,Q03,2,Ryan Wood,9,261,false,Toyota
DAR,Q03,2,Ryan Wood,10,260,false,Toyota
DAR,Q03,2,Ryan Wood,11,83,false,Toyota
DAR,Q03,2,Ryan Wood,12,261,false,Toyota
DAR,Q03,2,Ryan Wood,13,262,false,Toyota
DAR,Q03,3,Aaron Cameron,1,69,false,Ford
DAR,Q03,3,Aaron Cameron,2,259,false,Ford
DAR,Q03,3,Aaron Cameron,3,261,false,Ford
DAR,Q03,3,Aaron Cameron,4,262,false,Ford
DAR,Q03,3,Aaron Cameron,5,65,false,Ford
DAR,Q03,3,Aaron Cameron,6,263,false,Ford
DAR,Q03,3,Aaron Cameron,7,261,false,Ford
DAR,Q03,4,Jack Le Brocq,1,135,false,Chevrolet
DAR,Q03,4,Jack Le Brocq,2,262,false,Chevrolet
DAR,Q03,4,Jack Le Brocq,3,264,false,Chevrolet
DAR,Q03,4,Jack Le Brocq,4,262,false,Chevrolet
DAR,Q03,4,Jack Le Brocq,5,71,false,Chevrolet
DAR,Q03,4,Jack Le Brocq,6,265,false,Chevrolet
DAR,Q03,4,Jack Le Brocq,7,266,false,Chevrolet
DAR,Q03,6,Cameron Waters,1,63,false,Ford
DAR,Q03,6,Cameron Waters,2,261,false,Ford
DAR,Q03,6,Cameron Waters,3,262,false,Ford
DAR,Q03,6,Cameron Waters,4,260,false,Ford
DAR,Q03,6,Cameron Waters,5,61,false,Ford
DAR,Q03,6,Cameron Waters,6,264,false,Ford
DAR,Q03,6,Cameron Waters,7,264,false,Ford
DAR,Q03,6,Cameron Waters,8,178,false,Ford
DAR,Q03,6,Cameron Waters,9,262,false,Ford
DAR,Q03,6,Cameron Waters,10,263,false,Ford
DAR,Q03,7,James Golding,1,61,false,Ford
DAR,Q03,7,James Golding,2,259,false,Ford
DAR,Q03,7,James Golding,3,260,false,Ford
DAR,Q03,7,James Golding,4,262,false,Ford
DAR,Q03,7,James Golding,5,61,false,Ford
DAR,Q03,7,James Golding,6,263,false,Ford
DAR,Q03,8,Andre Heimgartner,1,81,false,Toyota
DAR,Q03,8,Andre Heimgartner,2,260,false,Toyota
DAR,Q03,8,Andre Heimgartner,3,261,false,Toyota
DAR,Q03,8,Andre Heimgartner,4,252,false,Toyota
DAR,Q03,8,Andre Heimgartner,5,69,false,Toyota
DAR,Q03,8,Andre Heimgartner,6,262,false,Toyota
DAR,Q03,8,Andre Heimgartner,7,263,false,Toyota
DAR,Q03,8,Andre Heimgartner,8,170,false,Toyota
DAR,Q03,8,Andre Heimgartner,9,260,false,Toyota
DAR,Q03,8,Andre Heimgartner,10,253,false,Toyota
DAR,Q03,8,Andre Heimgartner,11,100,false,Toyota
DAR,Q03,8,Andre Heimgartner,12,263,false,Toyota
DAR,Q03,9,Jobe Stewart,1,116,false,Chevrolet
DAR,Q03,9,Jobe Stewart,2,261,false,Chevrolet
DAR,Q03,9,Jobe Stewart,3,262,false,Chevrolet
DAR,Q03,9,Jobe Stewart,4,260,false,Chevrolet
DAR,Q03,9,Jobe Stewart,5,104,false,Chevrolet
DAR,Q03,9,Jobe Stewart,6,261,false,Chevrolet
DAR,Q03,10,Zach Bates,1,140,false,Chevrolet
DAR,Q03,10,Zach Bates,2,263,false,Chevrolet
DAR,Q03,10,Zach Bates,3,264,false,Chevrolet
DAR,Q03,10,Zach Bates,4,264,false,Chevrolet
DAR,Q03,10,Zach Bates,5,70,false,Chevrolet
