event,session,car,driver,lap,kph,parse_error,vehicle
DAR,E06DAR_RACE_R17,1,Chaz Mostert,1,208,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,2,264,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,3,266,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,4,267,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,5,268,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,6,267,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,7,268,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,8,264,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,9,265,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,10,266,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,11,266,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,12,265,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,13,265,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,14,265,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,15,265,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,16,265,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,17,264,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,18,264,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,19,264,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,20,264,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,21,179,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,22,264,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,23,266,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,24,266,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,25,267,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,26,266,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,27,264,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,28,267,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,29,268,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,30,269,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,31,265,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,32,264,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,33,268,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,34,118,false,Toyota
DAR,E06DAR_RACE_R17,1,Chaz Mostert,35,266,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,1,203,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,2,263,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,3,262,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,4,263,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,5,263,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,6,174,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,7,258,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,8,260,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,9,261,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,10,261,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,11,262,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,12,261,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,13,262,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,14,262,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,15,263,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,16,262,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,17,262,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,18,262,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,19,262,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,20,262,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,21,262,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,22,263,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,23,263,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,24,258,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,25,263,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,26,262,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,27,263,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,28,264,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,29,264,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,30,265,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,31,265,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,32,265,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,33,265,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,34,123,false,Toyota
DAR,E06DAR_RACE_R17,2,Ryan Wood,35,265,false,Toyota
DAR,E06DAR_RACE_R17,3,Aaron Cameron,1,226,false,Ford
DAR,E06DAR_RACE_R17,3,Aaron Cameron,2,260,false,Ford
DAR,E06DAR_RACE_R17,3,Aaron Cameron,3,266,false,Ford
DAR,E06DAR_RACE_R17,3,Aaron Cameron,4,266,false,Ford
DAR,E06DAR_RACE_R17,3,Aaron Cameron,5,264,false,Ford
DAR,E06DAR_RACE_R17,3,Aaron Cameron,6,264,false,Ford
DAR,E06DAR_RACE_R17,3,Aaron Cameron,7,263,false,Ford
DAR,E06DAR_RACE_R17,3,Aaron Cameron,8,264,false,Ford
DAR,E06DAR_RACE_R17,3,Aaron Cameron,9,267,false,Ford
DAR,E06DAR_RACE_R17,3,Aaron Cameron,10,264,false,Ford
DAR,E06DAR_RACE_R17,3,Aaron Cameron,11,265,false,Ford
