event,session,car,driver,lap,kph,parse_error,vehicle
DAR,P04,1,Chaz Mostert,1,134,false,Toyota
DAR,P04,1,Chaz Mostert,2,130,false,Toyota
DAR,P04,1,Chaz Mostert,3,177,false,Toyota
DAR,P04,1,Chaz Mostert,4,262,false,Toyota
DAR,P04,1,Chaz Mostert,5,167,false,Toyota
DAR,P04,1,Chaz Mostert,6,260,false,Toyota
DAR,P04,1,Chaz Mostert,7,260,false,Toyota
DAR,P04,1,Chaz Mostert,8,261,false,Toyota
DAR,P04,1,Chaz Mostert,9,262,false,Toyota
DAR,P04,1,Chaz Mostert,10,147,false,Toyota
DAR,P04,1,Chaz Mostert,11,261,false,Toyota
DAR,P04,1,Chaz Mostert,12,171,false,Toyota
DAR,P04,1,Chaz Mostert,13,260,false,Toyota
DAR,P04,1,Chaz Mostert,14,260,false,Toyota
DAR,P04,1,Chaz Mostert,15,169,false,Toyota
DAR,P04,1,Chaz Mostert,16,261,false,Toyota
DAR,P04,1,Chaz Mostert,17,260,false,Toyota
DAR,P04,1,Chaz Mostert,18,120,false,Toyota
DAR,P04,1,Chaz Mostert,19,261,false,Toyota
DAR,P04,2,Ryan Wood,1,120,false,Toyota
DAR,P04,2,Ryan Wood,2,211,false,Toyota
DAR,P04,2,Ryan Wood,3,214,false,Toyota
DAR,P04,2,Ryan Wood,4,151,false,Toyota
DAR,P04,2,Ryan Wood,5,262,false,Toyota
DAR,P04,2,Ryan Wood,6,261,false,Toyota
DAR,P04,2,Ryan Wood,7,250,false,Toyota
DAR,P04,2,Ryan Wood,8,151,false,Toyota
DAR,P04,2,Ryan Wood,9,260,false,Toyota
DAR,P04,2,Ryan Wood,10,260,false,Toyota
DAR,P04,2,Ryan Wood,11,174,false,Toyota
DAR,P04,2,Ryan Wood,12,260,false,Toyota
DAR,P04,2,Ryan Wood,13,259,false,Toyota
DAR,P04,2,Ryan Wood,14,261,false,Toyota
DAR,P04,2,Ryan Wood,15,262,false,Toyota
DAR,P04,2,Ryan Wood,16,167,false,Toyota
DAR,P04,2,Ryan Wood,17,260,false,Toyota
DAR,P04,2,Ryan Wood,18,261,false,Toyota
DAR,P04,2,Ryan Wood,19,262,false,Toyota
DAR,P04,2,Ryan Wood,20,174,false,Toyota
DAR,P04,2,Ryan Wood,21,259,false,Toyota
DAR,P04,2,Ryan Wood,22,260,false,Toyota
DAR,P04,2,Ryan Wood,23,261,false,Toyota
DAR,P04,2,Ryan Wood,24,263,false,Toyota
DAR,P04,3,Aaron Cameron,1,89,false,Ford
DAR,P04,3,Aaron Cameron,2,259,false,Ford
DAR,P04,3,Aaron Cameron,3,262,false,Ford
DAR,P04,3,Aaron Cameron,4,264,false,Ford
DAR,P04,3,Aaron Cameron,5,250,false,Ford
DAR,P04,3,Aaron Cameron,6,177,false,Ford
DAR,P04,3,Aaron Cameron,7,262,false,Ford
DAR,P04,3,Aaron Cameron,8,261,false,Ford
DAR,P04,3,Aaron Cameron,9,262,false,Ford
DAR,P04,3,Aaron Cameron,10,172,false,Ford
DAR,P04,3,Aaron Cameron,11,260,false,Ford
DAR,P04,3,Aaron Cameron,12,260,false,Ford
DAR,P04,3,Aaron Cameron,13,261,false,Ford
DAR,P04,3,Aaron Cameron,14,154,false,Ford
DAR,P04,3,Aaron Cameron,15,260,false,Ford
DAR,P04,3,Aaron Cameron,16,257,false,Ford
DAR,P04,3,Aaron Cameron,17,260,false,Ford
DAR,P04,3,Aaron Cameron,18,129,false,Ford
DAR,P04,3,Aaron Cameron,19,260,false,Ford
DAR,P04,4,Jack Le Brocq,1,82,false,Chevrolet
DAR,P04,4,Jack Le Brocq,2,261,false,Chevrolet
DAR,P04,4,Jack Le Brocq,3,263,false,Chevrolet
DAR,P04,4,Jack Le Brocq,4,263,false,Chevrolet
DAR,P04,4,Jack Le Brocq,5,257,false,Chevrolet
DAR,P04,4,Jack Le Brocq,6,162,false,Chevrolet
DAR,P04,4,Jack Le Brocq,7,263,false,Chevrolet
DAR,P04,4,Jack Le Brocq,8,263,false,Chevrolet
DAR,P04,4,Jack Le Brocq,9,163,false,Chevrolet
DAR,P04,4,Jack Le Brocq,10,261,false,Chevrolet
DAR,P04,4,Jack Le Brocq,11,262,false,Chevrolet
DAR,P04,4,Jack Le Brocq,12,170,false,Chevrolet
DAR,P04,4,Jack Le Brocq,13,260,false,Chevrolet
DAR,P04,4,Jack Le Brocq,14,165,false,Chevrolet
DAR,P04,4,Jack Le Brocq,15,261,false,Chevrolet
DAR,P04,4,Jack Le Brocq,16,57,false,Chevrolet
DAR,P04,4,Jack Le Brocq,17,260,false,Chevrolet
DAR,P04,4,Jack Le Brocq,18,83,false,Chevrolet
DAR,P04,4,Jack Le Brocq,19,261,false,Chevrolet
DAR,P04,4,Jack Le Brocq,20,266,false,Chevrolet
DAR,P04,6,Cameron Waters,1,79,false,Ford
DAR,P04,6,Cameron Waters,2,258,false,Ford
DAR,P04,6,Cameron Waters,3,260,false,Ford
DAR,P04,6,Cameron Waters,4,164,false,Ford
DAR,P04,6,Cameron Waters,5,261,false,Ford
DAR,P04,6,Cameron Waters,6,261,false,Ford
DAR,P04,6,Cameron Waters,7,172,false,Ford
DAR,P04,6,Cameron Waters,8,263,false,Ford
DAR,P04,6,Cameron Waters,9,263,false,Ford
DAR,P04,6,Cameron Waters,10,262,false,Ford
DAR,P04,6,Cameron Waters,11,176,false,Ford
DAR,P04,6,Cameron Waters,12,263,false,Ford
DAR,P04,6,Cameron Waters,13,263,false,Ford
DAR,P04,6,Cameron Waters,14,262,false,Ford
DAR,P04,6,Cameron Waters,15,143,false,Ford
DAR,P04,6,Cameron Waters,16,262,false,Ford
DAR,P04,6,Cameron Waters,17,262,false,Ford
DAR,P04,6,Cameron Waters,18,262,false,Ford
DAR,P04,6,Cameron Waters,19,182,false,Ford
DAR,P04,6,Cameron Waters,20,125,false,Ford
DAR,P04,6,Cameron Waters,21,262,false,Ford
DAR,P04,7,James Golding,1,87,false,Ford
DAR,P04,7,James Golding,2,256,false,Ford
DAR,P04,7,James Golding,3,260,false,Ford
DAR,P04,7,James Golding,4,261,false,Ford
DAR,P04,7,James Golding,5,262,false,Ford
DAR,P04,7,James Golding,6,257,false,Ford
DAR,P04,7,James Golding,7,176,false,Ford
DAR,P04,7,James Golding,8,262,false,Ford
DAR,P04,7,James Golding,9,261,false,Ford
DAR,P04,7,James Golding,10,260,false,Ford
DAR,P04,7,James Golding,11,176,false,Ford
DAR,P04,7,James Golding,12,260,false,Ford
DAR,P04,7,James Golding,13,261,false,Ford
DAR,P04,7,James Golding,14,261,false,Ford
DAR,P04,7,James Golding,15,178,false,Ford
DAR,P04,7,James Golding,16,260,false,Ford
DAR,P04,7,James Golding,17,260,false,Ford
DAR,P04,7,James Golding,18,133,false,Ford
DAR,P04,7,James Golding,19,261,false,Ford
DAR,P04,7,James Golding,20,261,false,Ford
DAR,P04,8,Andre Heimgartner,1,88,false,Toyota
DAR,P04,8,Andre Heimgartner,2,246,false,Toyota
DAR,P04,8,Andre Heimgartner,3,257,false,Toyota
DAR,P04,8,Andre Heimgartner,4,253,false,Toyota
DAR,P04,8,Andre Heimgartner,5,262,false,Toyota
DAR,P04,8,Andre Heimgartner,6,263,false,Toyota
DAR,P04,8,Andre Heimgartner,7,234,false,Toyota
DAR,P04,8,Andre Heimgartner,8,166,false,Toyota
DAR,P04,8,Andre Heimgartner,9,261,false,Toyota
DAR,P04,8,Andre Heimgartner,10,262,false,Toyota
DAR,P04,8,Andre Heimgartner,11,262,false,Toyota
DAR,P04,8,Andre Heimgartner,12,142,false,Toyota
DAR,P04,8,Andre Heimgartner,13,260,false,Toyota
DAR,P04,8,Andre Heimgartner,14,262,false,Toyota
DAR,P04,8,Andre Heimgartner,15,84,false,Toyota
DAR,P04,8,Andre Heimgartner,16,260,false,Toyota
DAR,P04,8,Andre Heimgartner,17,261,false,Toyota
DAR,P04,8,Andre Heimgartner,18,172,false,Toyota
DAR,P04,8,Andre Heimgartner,19,260,false,Toyota
DAR,P04,8,Andre Heimgartner,20,262,false,Toyota
DAR,P04,8,Andre Heimgartner,21,101,false,Toyota
DAR,P04,8,Andre Heimgartner,22,262,false,Toyota
DAR,P04,8,Andre Heimgartner,23,262,false,Toyota
DAR,P04,9,Jobe Stewart,1,100,false,Chevrolet
DAR,P04,9,Jobe Stewart,2,257,false,Chevrolet
DAR,P04,9,Jobe Stewart,3,260,false,Chevrolet
DAR,P04,9,Jobe Stewart,4,262,false,Chevrolet
DAR,P04,9,Jobe Stewart,5,262,false,Chevrolet
DAR,P04,9,Jobe Stewart,6,262,false,Chevrolet
DAR,P04,9,Jobe Stewart,7,261,false,Chevrolet
DAR,P04,9,Jobe Stewart,8,261,false,Chevrolet
DAR,P04,9,Jobe Stewart,9,261,false,Chevrolet
DAR,P04,9,Jobe Stewart,10,176,false,Chevrolet
DAR,P04,9,Jobe Stewart,11,260,false,Chevrolet
DAR,P04,9,Jobe Stewart,12,260,false,Chevrolet
DAR,P04,9,Jobe Stewart,13,260,false,Chevrolet
DAR,P04,9,Jobe Stewart,14,260,false,Chevrolet
