event,session,car,driver,lap,kph,parse_error,vehicle
TSV,P05,1,Chaz Mostert,1,79,false,Toyota
TSV,P05,1,Chaz Mostert,2,174,false,Toyota
TSV,P05,1,Chaz Mostert,3,231,false,Toyota
TSV,P05,1,Chaz Mostert,4,243,false,Toyota
TSV,P05,1,Chaz Mostert,5,247,false,Toyota
TSV,P05,1,Chaz Mostert,6,184,false,Toyota
TSV,P05,1,Chaz Mostert,7,123,false,Toyota
TSV,P05,1,Chaz Mostert,8,182,false,Toyota
TSV,P05,1,Chaz Mostert,9,246,false,Toyota
TSV,P05,1,Chaz Mostert,10,251,false,Toyota
TSV,P05,1,Chaz Mostert,11,255,false,Toyota
TSV,P05,1,Chaz Mostert,12,196,false,Toyota
TSV,P05,1,Chaz Mostert,13,254,false,Toyota
TSV,P05,1,Chaz Mostert,14,253,false,Toyota
TSV,P05,1,Chaz Mostert,15,253,false,Toyota
TSV,P05,2,Ryan Wood,1,76,false,Toyota
TSV,P05,2,Ryan Wood,2,187,false,Toyota
TSV,P05,2,Ryan Wood,3,151,false,Toyota
TSV,P05,2,Ryan Wood,4,245,false,Toyota
TSV,P05,2,Ryan Wood,5,251,false,Toyota
TSV,P05,2,Ryan Wood,6,250,false,Toyota
TSV,P05,2,Ryan Wood,7,194,false,Toyota
TSV,P05,2,Ryan Wood,8,165,false,Toyota
TSV,P05,2,Ryan Wood,9,253,false,Toyota
TSV,P05,2,Ryan Wood,10,246,false,Toyota
TSV,P05,2,Ryan Wood,11,253,false,Toyota
TSV,P05,2,Ryan Wood,12,211,false,Toyota
TSV,P05,2,Ryan Wood,13,248,false,Toyota
TSV,P05,2,Ryan Wood,14,152,false,Toyota
TSV,P05,2,Ryan Wood,15,249,false,Toyota
TSV,P05,2,Ryan Wood,16,252,false,Toyota
TSV,P05,2,Ryan Wood,17,217,false,Toyota
TSV,P05,3,Aaron Cameron,1,81,false,Ford
TSV,P05,3,Aaron Cameron,2,212,false,Ford
TSV,P05,3,Aaron Cameron,3,228,false,Ford
TSV,P05,3,Aaron Cameron,4,244,false,Ford
TSV,P05,3,Aaron Cameron,5,247,false,Ford
TSV,P05,3,Aaron Cameron,6,245,false,Ford
TSV,P05,3,Aaron Cameron,7,198,false,Ford
TSV,P05,3,Aaron Cameron,8,249,false,Ford
TSV,P05,3,Aaron Cameron,9,251,false,Ford
TSV,P05,3,Aaron Cameron,10,249,false,Ford
TSV,P05,3,Aaron Cameron,11,203,false,Ford
TSV,P05,3,Aaron Cameron,12,249,false,Ford
TSV,P05,3,Aaron Cameron,13,246,false,Ford
TSV,P05,3,Aaron Cameron,14,206,false,Ford
TSV,P05,3,Aaron Cameron,15,248,false,Ford
TSV,P05,3,Aaron Cameron,16,247,false,Ford
