TIRF Data File: Project 1792; Run 29; ISO False; ID 0ewPQRp
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	HT	RE	SR	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	Nm	cm	SAE	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c								
0.00	0.02	0.010	-0.000	32.51	18.03	-9.18	-2909.04	71.03	4.44	-0.01	0.00	17.06	-0.39	4.15	-11.75	-3.77	28.34	27.42	29.91	26.86	22.42	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.01	0.01	0.006	0.005	32.51	15.05	-11.15	-2910.18	71.32	3.98	-0.01	0.00	17.10	0.09	-6.84	23.18	0.40	28.31	27.41	29.95	26.86	22.42	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.02	0.01	0.010	-0.008	32.51	13.73	-17.55	-2908.91	69.31	3.83	-0.00	0.01	17.09	-0.03	1.71	-76.16	-1.43	28.28	27.44	29.90	26.83	22.44	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.03	0.01	0.012	0.008	32.51	13.05	-19.10	-2912.10	68.61	4.06	-0.00	0.01	17.10	0.22	-5.62	10.06	2.23	28.26	27.43	29.93	26.80	22.44	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.04	0.02	0.006	-0.002	32.51	11.46	-21.95	-2914.17	68.39	3.80	-0.00	0.01	17.10	-0.03	4.15	-162.87	-1.20	28.29	27.46	29.95	26.80	22.44	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.05	0.02	0.013	-0.000	32.51	13.48	-23.08	-2911.42	66.53	4.38	-0.00	0.01	17.10	0.09	-0.73	49.57	-0.34	28.31	27.46	29.96	26.78	22.47	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.06	0.01	0.016	-0.002	32.51	15.66	-19.70	-2916.45	69.17	4.37	-0.01	0.01	17.09	0.09	-3.17	23.18	0.40	28.26	27.46	30.01	26.74	22.48	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.07	0.01	0.009	0.003	32.51	19.14	-17.20	-2909.27	67.46	4.52	-0.01	0.01	17.10	-0.15	9.03	-14.41	-3.26	28.29	27.47	30.01	26.75	22.47	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.08	0.02	0.000	0.001	32.51	22.94	-14.93	-2913.40	69.75	4.80	-0.01	0.01	17.07	0.09	-5.62	49.57	-0.34	28.34	27.46	29.98	26.77	22.43	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.09	0.01	0.003	0.005	32.50	18.83	-14.63	-2918.57	72.32	4.90	-0.01	0.01	17.07	0.09	-6.84	23.18	0.40	28.34	27.44	29.98	26.78	22.42	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.10	0.02	0.015	0.008	32.50	13.88	-8.76	-2914.90	72.43	4.53	-0.00	0.00	17.09	0.09	-1.95	49.57	-0.34	28.39	27.40	29.95	26.78	22.43	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.11	-0.02	0.009	-0.000	32.50	10.94	-11.57	-2914.30	70.61	4.73	-0.00	0.00	17.09	0.22	-0.73	-24.30	-2.34	28.33	27.41	29.90	26.75	22.44	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.12	0.01	0.003	0.008	32.50	13.69	-15.74	-2916.55	69.92	4.45	-0.00	0.01	17.07	0.09	1.71	23.18	0.40	28.34	27.41	29.95	26.75	22.45	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.13	0.02	0.010	0.005	32.51	15.81	-18.18	-2916.64	69.43	3.79	-0.01	0.01	17.06	-0.15	4.15	-30.81	-2.05	28.37	27.42	29.95	26.74	22.45	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.14	0.02	0.004	0.005	32.50	24.36	-21.68	-2922.44	69.47	5.65	-0.01	0.01	17.04	0.22	1.71	21.51	0.51	28.41	27.39	29.95	26.70	22.47	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.15	-0.00	0.009	0.001	32.51	20.84	-23.05	-2919.92	68.27	5.48	-0.01	0.01	17.04	0.09	-3.17	-3.21	-11.12	28.41	27.42	29.93	26.67	22.48	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.16	-0.02	0.009	0.003	32.50	13.71	-24.10	-2918.63	67.86	4.47	-0.00	0.01	17.04	0.22	-8.06	-24.30	-2.34	28.47	27.44	29.96	26.67	22.48	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.17	0.01	0.010	0.010	32.50	8.04	-19.23	-2920.57	68.46	4.31	-0.00	0.01	17.03	-0.15	-1.95	-14.41	-3.26	28.47	27.46	29.98	26.67	22.49	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.18	0.02	0.013	-0.000	32.50	8.01	-16.21	-2918.71	70.20	3.65	-0.00	0.01	17.02	-0.15	1.71	-30.81	-2.05	28.50	27.47	30.01	26.69	22.52	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.19	-0.00	0.013	0.004	32.50	14.37	-12.57	-2918.83	70.94	4.22	-0.00	0.00	17.03	-0.15	2.93	2.00	15.28	28.45	27.47	30.05	26.69	22.55	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.20	-0.02	0.023	0.003	32.50	24.26	-12.75	-2918.62	69.64	4.32	-0.01	0.00	17.01	0.22	5.37	-24.30	-2.34	28.47	27.50	30.03	26.70	22.59	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.21	-0.00	0.001	0.004	32.50	25.88	-11.46	-2921.48	71.52	5.24	-0.01	0.00	17.03	-0.03	1.71	10.55	2.08	28.53	27.52	30.05	26.72	22.61	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.22	0.01	0.015	0.003	32.50	19.56	-14.99	-2921.21	70.13	4.69	-0.01	0.01	17.01	-0.27	4.15	-7.96	-5.08	28.55	27.53	30.05	26.74	22.60	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.23	-0.02	0.009	-0.000	32.50	10.40	-18.62	-2923.11	69.03	4.38	-0.00	0.01	17.02	0.09	1.71	-55.99	-1.58	28.57	27.52	30.10	26.74	22.62	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.24	0.01	0.003	-0.000	32.50	3.13	-23.23	-2925.06	68.31	3.32	-0.00	0.01	17.02	0.22	-0.73	10.06	2.23	28.58	27.53	30.06	26.75	22.63	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.25	0.01	0.013	0.007	32.50	10.17	-21.74	-2928.77	69.65	3.65	-0.00	0.01	17.03	-0.15	-3.17	-14.41	-3.26	28.65	27.52	30.08	26.72	22.63	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.26	0.02	0.016	-0.003	32.50	17.92	-22.23	-2919.42	67.18	4.40	-0.01	0.01	17.01	0.09	4.15	49.57	-0.34	28.60	27.50	30.11	26.77	22.62	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.27	-0.02	0.013	0.004	32.50	23.02	-17.26	-2928.16	71.18	5.48	-0.01	0.01	17.01	-0.15	1.71	34.81	-0.07	28.62	27.47	30.11	26.78	22.64	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.28	-0.00	0.009	0.010	32.49	18.65	-17.00	-2926.64	70.35	4.83	-0.01	0.01	17.04	-0.03	-0.73	10.55	2.08	28.62	27.45	30.16	26.78	22.62	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.29	0.01	0.013	0.007	32.49	14.56	-14.90	-2920.46	68.15	4.30	-0.00	0.01	17.04	-0.15	1.71	-14.41	-3.25	28.63	27.41	30.15	26.78	22.60	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.30	0.02	0.012	0.005	32.49	15.14	-13.80	-2924.13	70.13	4.67	-0.01	0.00	17.07	-0.03	6.59	-162.87	-1.20	28.58	27.41	30.11	26.82	22.59	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.31	0.02	0.009	0.001	32.49	12.98	-14.04	-2925.21	70.26	4.04	-0.00	0.00	17.08	-0.15	-5.62	-30.81	-2.05	28.57	27.43	30.08	26.83	22.58	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.32	0.01	0.018	0.003	32.49	14.42	-17.40	-2922.78	68.59	4.24	-0.00	0.01	17.09	-0.27	-3.17	-7.96	-5.08	28.60	27.42	30.08	26.82	22.55	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.33	0.01	0.006	0.005	32.49	15.09	-19.61	-2924.79	67.74	4.65	-0.01	0.01	17.10	-0.15	0.49	-14.41	-3.25	28.55	27.42	30.13	26.80	22.55	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.34	0.01	0.016	0.004	32.49	16.35	-19.75	-2931.65	69.25	4.79	-0.01	0.01	17.11	-0.03	1.71	-76.16	-1.43	28.57	27.40	30.11	26.83	22.56	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.35	0.01	0.018	0.001	32.49	17.74	-22.14	-2928.29	68.33	4.34	-0.01	0.01	17.10	0.09	-0.73	23.18	0.40	28.53	27.42	30.10	26.82	22.57	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.36	-0.02	0.009	0.008	32.49	20.01	-19.54	-2929.42	68.32	4.37	-0.01	0.01	17.09	0.09	-1.95	-55.99	-1.58	28.58	27.44	30.08	26.82	22.58	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.37	0.01	0.012	0.004	32.49	18.79	-17.42	-2933.36	70.59	4.89	-0.01	0.01	17.09	-0.15	-1.95	-14.41	-3.25	28.57	27.43	30.06	26.80	22.57	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.38	0.01	0.004	0.003	32.49	13.84	-15.23	-2931.93	70.27	4.52	-0.00	0.01	17.10	0.22	-6.84	10.06	2.23	28.55	27.45	30.01	26.78	22.59	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.39	0.01	0.007	0.003	32.49	11.67	-15.20	-2929.58	69.97	4.53	-0.00	0.01	17.10	-0.03	-0.73	-76.16	-1.43	28.55	27.43	30.01	26.78	22.58	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.40	0.01	0.013	0.007	32.48	12.98	-14.96	-2930.82	70.76	4.68	-0.00	0.01	17.10	-0.15	-4.39	-14.41	-3.25	28.57	27.43	29.98	26.72	22.56	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.41	-0.00	0.009	0.003	32.49	16.50	-16.36	-2933.18	70.80	4.20	-0.01	0.01	17.10	-0.03	-5.62	10.55	2.08	28.66	27.45	30.01	26.67	22.55	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.42	0.02	0.015	0.001	32.49	22.27	-15.32	-2932.04	70.27	5.04	-0.01	0.01	17.10	-0.03	-4.39	-162.87	-1.20	28.63	27.47	30.03	26.67	22.52	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.43	0.01	0.004	0.001	32.49	17.35	-21.04	-2936.69	70.29	4.68	-0.01	0.01	17.09	-0.15	-5.62	-14.41	-3.25	28.68	27.47	30.00	26.65	22.49	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.44	0.03	0.012	0.005	32.48	14.41	-20.83	-2934.09	69.33	4.25	-0.00	0.01	17.07	-0.27	1.71	-26.08	-2.25	28.74	27.50	29.95	26.61	22.48	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.45	0.02	0.009	-0.000	32.49	13.01	-19.99	-2931.58	68.62	4.70	-0.00	0.01	17.07	0.09	1.71	49.57	-0.34	28.81	27.45	29.96	26.57	22.47	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.46	0.01	0.012	-0.002	32.49	14.33	-17.81	-2932.67	69.24	4.21	-0.00	0.01	17.08	0.09	0.49	23.18	0.40	28.76	27.44	29.96	26.61	22.47	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.47	0.02	0.010	-0.005	32.49	16.59	-16.81	-2932.86	69.50	4.24	-0.01	0.01	17.06	0.09	0.49	49.57	-0.34	28.76	27.43	29.96	26.59	22.46	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.48	0.01	0.006	0.003	32.49	17.23	-15.32	-2933.96	69.88	3.99	-0.01	0.01	17.04	-0.03	-8.06	-76.16	-1.43	28.78	27.43	29.96	26.61	22.45	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.49	0.02	0.007	-0.000	32.49	14.47	-17.74	-2933.94	69.40	4.27	-0.00	0.01	17.04	-0.15	-0.73	-30.81	-2.05	28.81	27.40	30.00	26.56	22.46	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.50	0.01	0.015	0.001	32.49	10.09	-17.66	-2932.58	69.24	4.26	-0.00	0.01	17.01	-0.15	2.93	-14.41	-3.25	28.82	27.40	30.00	26.56	22.47	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.51	0.01	0.006	0.004	32.49	10.72	-17.56	-2935.93	69.66	4.01	-0.00	0.01	17.02	0.09	2.93	23.18	0.40	28.86	27.40	30.00	26.52	22.46	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.52	0.01	0.013	0.005	32.48	12.08	-17.50	-2935.93	69.66	3.54	-0.00	0.01	17.03	-0.15	6.59	-14.41	-3.25	28.86	27.37	30.03	26.54	22.47	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.53	-0.00	0.009	0.003	32.49	17.05	-15.34	-2940.97	72.05	3.92	-0.01	0.01	17.04	-0.15	-4.39	2.00	15.28	28.91	27.38	30.01	26.51	22.48	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.54	0.02	0.019	-0.002	32.49	18.57	-19.02	-2937.30	69.59	4.16	-0.01	0.01	17.04	-0.03	-0.73	-162.87	-1.20	28.91	27.38	30.00	26.54	22.52	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.55	0.01	0.007	-0.003	32.49	15.87	-17.92	-2936.21	69.70	4.46	-0.01	0.01	17.04	0.09	-4.39	23.18	0.40	28.92	27.36	29.96	26.56	22.52	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.56	0.02	0.006	0.011	32.48	13.79	-17.23	-2937.14	69.19	4.50	-0.00	0.01	17.04	-0.03	-3.17	-162.87	-1.20	28.89	27.37	29.96	26.56	22.51	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.57	0.01	0.012	0.004	32.48	15.14	-18.71	-2937.29	69.60	4.68	-0.01	0.01	17.07	-0.03	-0.73	-76.16	-1.43	28.92	27.35	29.95	26.54	22.50	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.58	0.02	0.013	-0.000	32.48	14.47	-17.86	-2939.40	69.48	4.27	-0.00	0.01	17.08	-0.03	4.15	-162.87	-1.20	28.87	27.35	29.95	26.52	22.49	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.59	0.01	0.009	0.004	32.48	16.55	-17.62	-2937.14	69.18	4.23	-0.01	0.01	17.10	0.09	-8.06	23.18	0.40	28.89	27.38	29.93	26.52	22.50	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.60	0.02	0.006	0.003	32.49	16.68	-18.79	-2938.56	69.77	4.92	-0.01	0.01	17.10	0.09	-1.95	49.57	-0.34	28.82	27.39	29.95	26.49	22.47	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.61	-0.00	0.010	-0.002	32.49	14.34	-16.76	-2939.47	70.36	4.22	-0.00	0.01	17.10	-0.15	7.81	2.00	15.28	28.86	27.40	29.93	26.51	22.47	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.62	0.01	0.016	-0.002	32.49	14.34	-16.78	-2937.05	69.41	3.58	-0.00	0.01	17.11	0.09	-3.17	23.18	0.40	28.84	27.39	29.95	26.51	22.46	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.63	-0.00	0.006	0.004	32.48	14.43	-17.65	-2939.40	69.47	3.61	-0.00	0.01	17.11	-0.15	5.37	2.00	15.27	28.86	27.43	29.95	26.52	22.46	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.64	-0.00	0.015	-0.003	32.48	17.37	-14.58	-2935.91	69.13	4.69	-0.01	0.00	17.10	-0.15	2.93	2.00	15.28	28.86	27.44	29.91	26.51	22.47	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.65	0.02	0.009	0.005	32.48	15.20	-18.72	-2940.58	69.39	4.05	-0.01	0.01	17.12	-0.27	-5.62	-17.02	-2.91	28.84	27.41	29.95	26.51	22.50	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.66	-0.02	0.010	0.010	32.48	15.25	-16.25	-2940.43	69.22	4.08	-0.01	0.01	17.12	0.09	0.49	-55.99	-1.58	28.82	27.43	29.93	26.49	22.51	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.67	0.02	0.010	0.007	32.48	13.03	-19.84	-2940.32	68.48	3.42	-0.00	0.01	17.12	-0.15	-10.50	-30.81	-2.05	28.86	27.44	29.96	26.44	22.53	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.68	0.02	0.013	-0.000	32.48	15.92	-19.01	-2943.08	70.34	3.84	-0.01	0.01	17.12	-0.03	4.15	-162.87	-1.20	28.87	27.43	29.96	26.46	22.53	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.69	0.02	0.019	0.007	32.48	15.15	-17.53	-2941.67	69.77	4.04	-0.01	0.01	17.12	0.09	-6.84	49.57	-0.34	28.89	27.45	30.01	26.41	22.53	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.70	0.01	0.003	-0.000	32.48	14.44	-15.61	-2941.67	70.25	3.62	-0.00	0.01	17.11	0.09	-3.17	23.18	0.40	28.91	27.47	30.00	26.38	22.52	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.71	-0.00	0.013	0.001	32.48	16.02	-15.57	-2941.61	69.62	4.52	-0.01	0.01	17.12	-0.03	1.71	10.55	2.08	28.91	27.49	30.00	26.40	22.52	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.72	0.02	0.006	0.001	32.48	15.92	-16.69	-2942.85	70.17	4.48	-0.01	0.01	17.10	0.22	-4.39	21.51	0.51	28.92	27.51	30.06	26.41	22.51	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.73	0.01	0.010	0.004	32.48	18.00	-17.72	-2941.52	69.12	4.44	-0.01	0.01	17.07	-0.15	-4.39	-14.41	-3.25	28.95	27.52	30.10	26.44	22.49	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.74	0.02	0.010	0.005	32.48	13.85	-18.76	-2940.42	68.74	3.88	-0.00	0.01	17.07	0.09	-1.95	49.57	-0.34	28.97	27.53	30.15	26.43	22.47	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.75	-0.02	0.006	-0.000	32.48	14.48	-21.40	-2943.76	68.68	3.63	-0.00	0.01	17.07	0.09	0.49	-55.99	-1.58	29.02	27.53	30.15	26.46	22.46	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.76	0.02	0.016	0.011	32.47	16.59	-20.77	-2945.10	69.49	4.24	-0.01	0.01	17.07	-0.03	-4.39	-162.87	-1.20	28.97	27.55	30.18	26.46	22.49	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.77	0.03	0.007	0.010	32.48	16.55	-19.70	-2947.52	70.67	4.23	-0.01	0.01	17.06	0.09	-1.95	75.96	-0.57	28.99	27.57	30.13	26.44	22.50	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.78	0.02	0.013	0.001	32.48	17.95	-19.00	-2943.93	69.82	4.42	-0.01	0.01	17.05	0.22	-4.39	21.51	0.51	29.02	27.59	30.15	26.44	22.52	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.79	-0.02	0.012	-0.000	32.48	15.15	-17.90	-2941.67	69.77	4.04	-0.01	0.01	17.06	-0.03	-6.84	183.97	-0.82	29.07	27.58	30.18	26.49	22.56	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.80	0.01	0.004	0.004	32.48	17.90	-17.73	-2945.02	70.20	4.40	-0.01	0.01	17.04	-0.03	-5.62	-76.16	-1.43	29.11	27.59	30.20	26.54	22.60	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.81	0.01	0.015	0.005	32.48	18.04	-16.52	-2943.79	69.67	5.10	-0.01	0.01	17.04	0.09	0.49	23.18	0.40	29.11	27.58	30.16	26.52	22.61	-3112.87	0.00	0.000	-1.00	17.00	0.000	26.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
