TIRF Data File: Project 1792; Run 27; ISO False; ID TmXou0-
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	HT	RE	SR	SL	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	Nm	cm	SAE	none	deg c	deg c	deg c	deg c	deg c							deg c								
446.54	49.75	0.020	0.004	32.23	-253.25	588.00	-3989.21	90.96	-28.79	0.0635	-0.1474	21.05	395.04	-24.88	33.41	-0.0353	-0.0012	51.93	46.35	57.67	42.99	25.23	0.00	0.00	0.00	0.00	0.00	0.00	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
446.55	49.77	0.023	0.001	32.23	-195.72	598.15	-4007.59	99.80	-28.21	0.0488	-0.1493	21.03	395.04	-10.23	33.42	-0.0358	-0.0016	51.88	46.29	57.68	43.03	25.23	0.00	0.00	0.00	0.00	0.00	0.00	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
446.56	49.77	0.020	-0.000	32.23	-135.16	599.34	-4026.27	107.47	-25.22	0.0336	-0.1489	21.02	395.04	-12.67	33.42	-0.0356	-0.0016	51.86	46.28	57.77	43.05	25.24	0.00	0.00	0.00	0.00	0.00	0.00	26.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
446.57	49.77	0.018	0.013	32.23	-96.84	597.27	-4034.35	114.71	-21.25	0.0240	-0.1480	21.04	394.92	-18.78	33.43	-0.0361	-0.0019	51.75	46.24	57.68	43.02	25.24	0.00	0.00	0.00	0.00	0.00	0.00	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
446.58	49.79	0.016	0.003	32.23	-98.78	591.28	-4031.52	118.23	-18.59	0.0245	-0.1467	21.09	394.55	-41.97	33.48	-0.0372	-0.0032	51.81	46.26	57.65	43.02	25.23	0.00	0.00	0.00	0.00	0.00	0.00	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
446.59	49.79	0.026	0.003	32.23	-134.66	586.01	-4033.27	123.64	-17.32	0.0334	-0.1453	21.11	394.79	-62.72	33.46	-0.0366	-0.0026	51.75	46.28	57.60	43.02	25.22	0.00	0.00	0.00	0.00	0.00	0.00	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
446.60	49.82	0.020	-0.000	32.23	-192.77	580.19	-4036.36	124.83	-18.27	0.0478	-0.1437	21.14	394.67	-74.93	33.48	-0.0374	-0.0034	51.78	46.29	57.57	43.03	25.18	0.00	0.00	0.00	0.00	0.00	0.00	26.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
446.61	49.83	0.031	-0.003	32.23	-236.63	570.77	-4042.53	123.79	-17.20	0.0585	-0.1412	21.09	394.92	-68.83	33.47	-0.0370	-0.0030	51.68	46.35	57.55	43.07	25.17	0.00	0.00	0.00	0.00	0.00	0.00	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
446.62	49.83	0.020	-0.005	32.23	-258.13	568.04	-4051.96	121.42	-15.13	0.0637	-0.1402	21.13	394.79	-63.94	33.48	-0.0374	-0.0033	51.68	46.37	57.58	43.07	25.16	0.00	0.00	0.00	0.00	0.00	0.00	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
