TIRF Data File: Project 1792; Run 28; ISO False; ID jc9dMVX
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	HT	RE	SR	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	BELTX
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	Nm	cm	SAE	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c	cm
7.06	0.01	0.003	0.004	33.17	45.69	-32.61	-1677.84	70.22	17.03	-0.03	0.02	21.20	0.09	3.62	24.80	0.34	33.36	31.54	31.41	32.51	23.78	-1749.93	1.66	0.000	10.00	21.01	0.000	26.91	0.00
7.07	0.02	0.003	0.003	33.17	42.94	-31.50	-1681.44	71.58	17.31	-0.03	0.02	21.18	-0.28	-1.26	-16.64	-2.99	33.40	31.57	31.34	32.53	23.79	-1749.93	1.66	0.000	10.00	21.01	0.000	26.90	0.01
7.08	0.02	0.012	0.007	33.17	34.24	-31.38	-1681.06	71.53	16.67	-0.02	0.02	21.15	0.21	-1.26	22.14	0.50	33.38	31.60	31.32	32.53	23.80	-1749.93	1.66	0.000	10.00	21.01	0.000	26.88	0.01
7.09	0.02	0.006	0.011	33.17	23.45	-31.26	-1684.28	72.59	16.08	-0.01	0.02	21.12	-0.03	-6.14	-134.13	-1.25	33.38	31.61	31.34	32.53	23.82	-1749.93	1.66	0.000	10.00	21.01	0.000	26.89	0.01
7.10	0.02	0.000	0.004	33.17	10.54	-33.73	-1682.70	71.90	15.52	-0.01	0.02	21.11	-0.03	-19.57	-134.13	-1.25	33.35	31.60	31.31	32.55	23.84	-1749.93	1.66	0.000	10.00	21.01	0.000	26.91	0.01
7.11	0.01	0.009	0.004	33.17	0.41	-34.80	-1683.72	73.07	16.61	-0.00	0.02	21.13	0.09	-15.91	24.80	0.34	33.30	31.61	31.31	32.56	23.83	-1749.93	1.66	0.000	10.00	21.01	0.000	26.89	0.01
7.12	0.01	0.007	0.001	33.17	-20.29	-32.61	-1674.61	70.52	15.27	0.01	0.02	21.14	0.21	-24.45	10.35	2.20	33.33	31.58	31.26	32.58	23.83	-1749.93	1.66	0.000	10.00	21.01	0.000	26.89	0.01
7.13	0.02	-0.003	0.004	33.17	-39.79	-33.69	-1678.53	71.44	14.69	0.02	0.02	21.12	0.21	-40.32	22.14	0.50	33.33	31.55	31.27	32.56	23.84	-1749.93	1.66	0.000	10.00	21.01	0.000	26.90	0.02
7.14	0.01	0.009	0.007	33.16	-61.37	-34.75	-1678.85	71.26	14.14	0.04	0.02	21.08	-0.40	-48.87	-5.41	-7.13	33.28	31.56	31.24	32.58	23.85	-1749.93	1.66	0.000	10.00	21.01	0.000	26.90	0.03
