TIRF Data File: Project 1792; Run 29; ISO False; ID IVMgsU9
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	HT	RE	SR	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	BELTX
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	Nm	cm	SAE	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c	cm
6.89	0.01	0.001	0.004	32.40	71.77	-18.75	-3029.74	81.23	14.93	-0.02	0.01	17.10	-0.27	10.25	-7.96	-5.07	31.82	27.68	29.80	28.22	22.56	-3112.87	1.66	0.000	10.00	17.00	0.000	26.85	0.00
6.90	-0.02	0.007	0.004	32.40	75.41	-21.00	-3031.17	81.57	16.43	-0.02	0.01	17.07	-0.15	10.25	34.81	-0.07	31.85	27.69	29.78	28.19	22.59	-3112.87	1.66	0.000	10.00	17.00	0.000	26.84	0.01
6.91	0.02	0.013	0.003	32.40	73.96	-19.96	-3029.75	81.01	16.86	-0.02	0.01	17.08	-0.03	11.47	-162.87	-1.20	31.87	27.68	29.78	28.27	22.60	-3112.87	1.66	0.000	10.00	17.00	0.000	26.82	0.01
6.92	0.01	0.018	0.004	32.40	66.66	-19.90	-3026.95	80.01	15.78	-0.02	0.01	17.07	-0.03	11.47	-76.16	-1.43	31.88	27.63	29.75	28.27	22.62	-3112.87	1.66	0.000	10.00	17.00	0.000	26.84	0.01
6.93	0.01	0.007	-0.000	32.40	52.40	-22.41	-3030.14	80.59	15.04	-0.02	0.01	17.07	-0.03	6.59	-76.16	-1.43	31.83	27.61	29.72	28.24	22.61	-3112.87	1.66	0.000	10.00	17.00	0.000	26.84	0.01
6.94	-0.02	0.010	0.005	32.40	43.76	-23.31	-3031.79	79.96	16.37	-0.01	0.01	17.06	0.09	-6.84	-55.99	-1.58	31.82	27.59	29.77	28.26	22.59	-3112.87	1.66	0.000	10.00	17.00	0.000	26.83	0.01
6.95	0.01	0.018	0.005	32.40	27.12	-20.98	-3030.19	80.88	14.90	-0.01	0.01	17.05	-0.15	-8.06	-14.41	-3.25	31.83	27.63	29.75	28.22	22.59	-3112.87	1.66	0.000	10.00	17.00	0.000	26.83	0.01
6.96	-0.00	0.015	-0.003	32.40	15.57	-21.50	-3030.65	80.32	14.51	-0.01	0.01	17.04	0.22	-1.95	-1.39	-24.25	31.83	27.63	29.75	28.22	22.58	-3112.87	1.66	0.000	10.00	17.00	0.000	26.84	0.01
6.97	0.02	0.012	0.010	32.39	4.06	-19.68	-3031.36	80.67	14.14	-0.00	0.01	17.05	-0.15	-11.72	-30.81	-2.05	31.85	27.62	29.78	28.19	22.58	-3112.87	1.66	0.000	10.00	17.00	0.000	26.84	0.01
6.98	0.01	0.009	0.001	32.40	-3.76	-21.23	-3032.40	81.22	15.28	0.00	0.01	17.04	-0.03	-10.50	-76.16	-1.43	31.85	27.64	29.77	28.18	22.56	-3112.87	1.66	0.000	10.00	17.00	0.000	26.82	0.02
6.99	0.01	0.016	-0.005	32.40	-15.37	-23.84	-3029.41	79.73	14.87	0.01	0.01	17.05	-0.27	-23.93	-7.96	-5.07	31.85	27.68	29.77	28.19	22.55	-3112.87	1.66	0.000	10.00	17.00	0.000	26.83	0.02
7.00	-0.00	0.010	-0.005	32.40	-34.76	-22.63	-3030.31	81.36	13.04	0.01	0.01	17.04	0.09	-31.25	-3.21	-11.09	31.87	27.70	29.77	28.21	22.55	-3112.87	1.66	0.000	10.00	17.00	0.000	26.84	0.02
