TIRF Data File: Project 1792; Run 40; ISO False; ID 2ium6G1
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	RE	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	cm	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c								
0.00	3.59	0.012	-0.003	33.33	1.28	412.43	-1664.38	7.58	2.87	-0.00	-0.25	24.02	28.71	33.16	25.14	23.79	22.50	26.78	27.07	-1749.93	3.60	0.000	0.00	24.00	0.000	26.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.01	3.59	0.016	0.004	33.33	1.71	410.96	-1670.28	8.55	2.79	-0.00	-0.25	24.03	28.59	33.30	25.06	23.77	22.42	26.72	27.07	-1749.93	3.60	0.000	0.00	24.00	0.000	26.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.02	3.59	0.026	-0.002	33.33	1.24	411.13	-1671.15	8.16	2.21	-0.00	-0.25	24.06	28.59	33.30	25.06	23.75	22.42	26.69	27.06	-1749.93	3.60	0.000	0.00	24.00	0.000	26.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.03	3.64	0.012	-0.005	33.33	1.64	407.75	-1669.68	6.04	2.44	-0.00	-0.24	24.12	28.47	33.96	25.01	23.69	22.38	26.64	27.06	-1749.93	3.60	0.000	0.00	24.00	0.000	26.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.04	3.61	0.010	-0.005	33.33	3.02	408.93	-1663.82	4.89	2.30	-0.00	-0.25	24.13	28.59	33.47	24.96	23.66	22.35	26.65	27.06	-1749.93	3.60	0.000	0.00	24.00	0.000	26.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.05	3.59	0.018	0.001	33.33	0.30	409.93	-1660.67	5.22	1.62	-0.00	-0.25	24.13	28.59	33.30	24.96	23.65	22.27	26.62	27.06	-1749.93	3.60	0.000	0.00	24.00	0.000	26.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.06	3.57	0.013	-0.006	33.33	1.69	410.28	-1663.39	7.01	1.81	-0.00	-0.25	24.06	28.47	33.27	24.96	23.62	22.23	26.59	27.05	-1749.93	3.60	0.000	0.00	24.00	0.000	26.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.07	3.55	0.013	0.003	33.32	2.14	411.13	-1658.90	6.47	2.06	-0.00	-0.25	24.04	28.34	33.23	24.95	23.60	22.25	26.54	27.04	-1749.93	3.60	0.000	0.00	24.00	0.000	26.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.08	3.55	0.025	-0.008	33.33	1.01	411.58	-1656.62	6.44	2.05	-0.00	-0.25	24.04	28.34	33.23	24.91	23.59	22.27	26.54	27.04	-1749.93	3.60	0.000	0.00	24.00	0.000	26.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
