TIRF Data File: Project 1792; Run 10; ISO False; ID -_DTFHg
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	RE	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	cm	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c								
1330.14	3.10	13.547	-1.413	30.97	-49.76	-10709.65	-5839.94	-33.61	80.20	0.01	1.83	24.21	24.31	32.91	54.94	57.57	85.70	78.51	25.01	-6249.75	3.99	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.15	3.12	13.592	-1.416	30.96	-47.27	-10715.66	-5867.00	-18.26	78.79	0.01	1.83	24.19	24.44	32.94	54.92	57.36	85.63	78.66	24.99	-6249.75	3.99	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.16	3.14	13.645	-1.413	30.95	-61.03	-10702.16	-5917.69	14.70	76.01	0.01	1.81	24.19	24.56	32.97	54.90	57.22	85.58	78.85	24.98	-6249.75	4.09	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.17	3.10	13.693	-1.413	30.94	-73.23	-10693.94	-5949.96	41.64	75.76	0.01	1.80	24.19	24.56	32.57	54.87	57.08	85.55	79.10	24.97	-6249.75	4.09	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.18	3.12	13.748	-1.421	30.94	-76.96	-10684.56	-5967.61	62.90	78.61	0.01	1.79	24.22	24.68	32.59	54.92	56.93	85.48	79.27	24.97	-6249.75	4.17	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.19	3.08	13.786	-1.418	30.92	-66.52	-10676.28	-5988.74	81.30	83.49	0.01	1.78	24.20	24.56	32.36	54.89	56.82	85.47	79.42	24.94	-6249.75	4.17	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.20	3.10	13.845	-1.432	30.92	-55.10	-10675.44	-6007.21	82.98	85.86	0.01	1.78	24.19	24.56	32.55	54.90	56.68	85.43	79.58	24.93	-6249.75	4.26	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.21	3.14	13.893	-1.441	30.92	-54.20	-10689.06	-6032.20	73.80	82.59	0.01	1.77	24.18	24.56	32.93	54.90	56.61	85.37	79.78	24.90	-6249.75	4.26	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.22	3.10	13.937	-1.454	30.91	-59.50	-10727.96	-6025.20	39.62	77.33	0.01	1.78	24.18	24.31	32.86	54.82	56.53	85.35	79.99	24.88	-6249.75	4.36	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.23	3.12	13.988	-1.454	30.90	-72.55	-10777.22	-6002.95	0.07	69.62	0.01	1.80	24.21	24.44	32.88	54.82	56.46	85.33	80.15	24.86	-6249.75	4.36	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
