TIRF Data File: Project 1792; Run 13; ISO False; ID 3q92C5n
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	RE	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	cm	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c								
1330.15	3.12	13.545	-1.410	30.54	-67.86	-10465.48	-5929.15	53.05	104.27	0.01	1.77	24.43	25.11	32.07	55.16	57.14	87.76	73.53	25.87	-6249.75	3.99	15.000	0.00	24.00	-1.500	26.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.16	3.12	13.589	-1.423	30.54	-68.26	-10516.01	-5909.06	19.58	104.70	0.01	1.78	24.41	24.86	32.38	55.13	57.18	87.76	73.45	25.85	-6249.75	4.09	15.000	0.00	24.00	-1.500	26.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.17	3.10	13.650	-1.429	30.54	-65.79	-10553.41	-5884.36	-11.40	104.92	0.01	1.79	24.39	25.11	31.86	55.13	57.18	87.77	73.30	25.85	-6249.75	4.09	15.000	0.00	24.00	-1.500	26.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.18	3.10	13.700	-1.423	30.52	-63.71	-10559.56	-5887.37	-18.59	104.91	0.01	1.79	24.38	24.86	32.17	55.11	57.22	87.81	73.25	25.83	-6249.75	4.17	15.000	0.00	24.00	-1.500	26.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.19	3.10	13.743	-1.428	30.51	-65.83	-10548.79	-5914.10	-3.99	105.24	0.01	1.78	24.35	24.86	32.16	55.08	57.24	87.84	73.27	25.83	-6249.75	4.17	15.000	0.00	24.00	-1.500	26.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.20	3.10	13.789	-1.429	30.50	-71.46	-10541.25	-5957.99	21.68	106.65	0.01	1.77	24.35	24.86	32.16	55.00	57.32	87.85	73.33	25.82	-6249.75	4.26	15.000	0.00	24.00	-1.500	26.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.21	3.10	13.843	-1.429	30.50	-73.44	-10552.63	-5994.39	44.62	110.57	0.01	1.76	24.34	25.11	31.84	54.95	57.31	87.94	73.38	25.82	-6249.75	4.26	15.000	0.00	24.00	-1.500	26.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.22	3.08	13.900	-1.431	30.49	-68.56	-10580.89	-6023.70	64.24	116.34	0.01	1.76	24.34	25.11	31.64	54.90	57.20	87.97	73.38	25.82	-6249.75	4.36	15.000	0.00	24.00	-1.500	26.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.23	3.10	13.946	-1.435	30.48	-65.16	-10620.36	-6041.59	78.92	120.27	0.01	1.76	24.34	24.74	32.29	54.89	57.08	88.02	73.45	25.81	-6249.75	4.36	15.000	0.00	24.00	-1.500	26.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.24	3.07	14.000	-1.451	30.48	-73.67	-10669.72	-6060.43	90.18	118.75	0.01	1.76	24.36	24.74	31.90	54.84	56.97	88.09	73.48	25.81	-6249.75	4.46	15.000	0.00	24.00	-1.500	26.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.25	3.08	14.041	-1.461	30.47	-93.77	-10732.07	-6069.56	83.95	110.71	0.02	1.77	24.39	24.74	32.09	54.85	56.86	88.10	73.56	25.80	-6249.75	4.46	15.000	0.00	24.00	-1.500	26.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.26	3.10	14.088	-1.463	30.46	-111.10	-10801.48	-6066.47	61.45	101.80	0.02	1.78	24.40	24.98	31.96	54.82	56.80	88.20	73.67	25.82	-6249.75	4.55	15.000	0.00	24.00	-1.500	26.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.27	3.10	14.133	-1.477	30.46	-112.47	-10857.89	-6038.77	21.68	94.38	0.02	1.80	24.42	25.23	31.64	54.81	56.75	88.22	73.87	25.82	-6249.75	4.55	15.000	0.00	24.00	-1.500	26.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.28	3.10	14.174	-1.473	30.45	-97.07	-10872.64	-6018.53	-9.61	89.57	0.02	1.81	24.42	24.98	31.95	54.71	56.71	88.32	74.05	25.84	-6249.75	4.65	15.000	0.00	24.00	-1.500	26.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
