TIRF Data File: Project 1792; Run 3; ISO False; ID FkfReT4
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	RE	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	cm	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c	deg c	deg c	deg c	deg c	deg c	deg c	deg c	deg c
1331.77	3.10	13.526	-1.413	30.94	-73.87	-10539.94	-5800.97	-21.28	88.19	0.01	1.82	24.27	24.48	32.69	56.53	59.09	92.50	77.95	27.82	-6249.75	3.99	15.000	0.00	24.00	-1.500	26.98	111.47	108.60	104.27	101.30	97.50	94.97	89.74	92.03
1331.78	3.10	13.573	-1.413	30.93	-78.25	-10543.50	-5827.51	-4.51	84.92	0.01	1.81	24.26	24.36	32.85	56.51	59.13	92.60	78.01	27.82	-6249.75	4.09	15.000	0.00	24.00	-1.500	27.00	111.47	108.60	104.27	101.29	97.50	94.97	89.73	92.03
1331.79	3.12	13.621	-1.418	30.92	-85.73	-10532.47	-5856.98	15.68	79.84	0.01	1.80	24.25	24.36	33.04	56.43	59.17	92.76	78.13	27.81	-6249.75	4.09	15.000	0.00	24.00	-1.500	26.99	111.47	108.60	104.26	101.29	97.50	94.97	89.72	92.03
1331.80	3.10	13.678	-1.410	30.91	-89.73	-10510.84	-5888.63	37.60	75.60	0.02	1.78	24.25	24.61	32.51	56.42	59.26	92.88	78.11	27.82	-6249.75	4.17	15.000	0.00	24.00	-1.500	26.98	111.47	108.61	104.26	101.28	97.49	94.97	89.71	92.03
1331.81	3.10	13.722	-1.425	30.91	-88.28	-10487.88	-5919.38	57.01	74.20	0.01	1.77	24.23	24.48	32.66	56.38	59.40	93.00	78.09	27.83	-6249.75	4.17	15.000	0.00	24.00	-1.500	26.99	111.47	108.61	104.26	101.27	97.49	94.97	89.70	92.03
1331.82	3.10	13.772	-1.423	30.89	-82.35	-10455.38	-5947.37	73.31	74.81	0.01	1.76	24.19	24.48	32.66	56.35	59.61	93.15	78.09	27.84	-6249.75	4.26	15.000	0.00	24.00	-1.500	27.00	111.47	108.61	104.26	101.26	97.49	94.97	89.69	92.03
1331.83	3.07	13.823	-1.435	30.89	-80.84	-10435.47	-5982.08	83.15	75.70	0.01	1.74	24.18	24.24	32.58	56.32	59.76	93.23	78.03	27.83	-6249.75	4.26	15.000	0.00	24.00	-1.500	26.99	111.47	108.62	104.26	101.25	97.48	94.97	89.68	92.03
1331.84	3.10	13.883	-1.441	30.88	-84.08	-10448.81	-6004.03	73.64	76.35	0.01	1.74	24.18	24.48	32.64	56.26	59.90	93.31	77.92	27.79	-6249.75	4.36	15.000	0.00	24.00	-1.500	26.98	111.47	108.62	104.25	101.24	97.48	94.97	89.67	92.03
1331.85	3.10	13.924	-1.450	30.87	-90.24	-10492.89	-6002.20	45.23	77.19	0.02	1.75	24.18	24.24	32.96	56.27	60.02	93.38	77.82	27.78	-6249.75	4.36	15.000	0.00	24.00	-1.500	26.99	111.47	108.62	104.25	101.23	97.48	94.97	89.66	92.03
1331.86	3.14	13.978	-1.458	30.87	-99.97	-10543.69	-5988.56	9.96	76.53	0.02	1.76	24.18	24.24	33.35	56.22	60.13	93.43	77.77	27.76	-6249.75	4.46	15.000	0.00	24.00	-1.500	27.00	111.48	108.63	104.25	101.22	97.47	94.98	89.65	92.02
1331.87	3.12	14.022	-1.460	30.86	-107.88	-10583.60	-5983.86	-12.89	75.10	0.02	1.77	24.19	24.48	32.82	56.24	60.23	93.48	77.83	27.76	-6249.75	4.46	15.000	0.00	24.00	-1.500	26.98	111.48	108.63	104.25	101.21	97.47	94.98	89.64	92.02
