TIRF Data File: Project 1792; Run 40; ISO False; ID 7w-h3Tf
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	HT	RE	SR	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	bar	rpm	Nm	cm	SAE	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	bar	deg	deg c	deg c	deg c	deg c	deg c	deg c	deg c	deg c	deg c
14.12	3.22	13.520	-1.394	31.77	-61.70	-6651.01	-5925.28	12.30	-4.58	0.01	1.12	1.671	25.41	0.00	32.63	-0.03	22.74	23.29	20.81	27.19	26.40	-6249.75	4.09	15.000	0.00	1.655	-1.500	26.73	29.71	27.00	29.66	28.38	28.52	26.41	27.16	28.17
14.13	3.25	13.566	-1.399	31.76	-57.09	-6626.21	-5950.45	31.42	-1.57	0.01	1.11	1.671	25.41	0.00	33.00	-0.04	22.76	23.28	20.78	27.14	26.41	-6249.75	4.17	15.000	0.00	1.655	-1.500	26.71	29.70	27.00	29.68	28.39	28.51	26.41	27.18	28.19
14.14	3.23	13.623	-1.409	31.76	-58.24	-6606.87	-5983.12	46.04	-0.63	0.01	1.10	1.669	25.29	0.00	32.96	-0.04	22.74	23.28	20.79	27.12	26.42	-6249.75	4.17	15.000	0.00	1.655	-1.500	26.71	29.70	27.00	29.70	28.40	28.50	26.40	27.20	28.20
14.15	3.22	13.665	-1.416	31.75	-67.39	-6625.74	-6014.30	43.88	-1.89	0.01	1.10	1.664	25.66	0.00	32.30	-0.02	22.77	23.30	20.79	27.09	26.42	-6249.75	4.26	15.000	0.00	1.655	-1.500	26.72	29.69	27.01	29.69	28.40	28.52	26.42	27.20	28.21
14.16	3.23	13.728	-1.431	31.75	-75.83	-6690.68	-6022.22	16.40	-2.71	0.01	1.11	1.663	25.54	-0.00	32.63	-0.03	22.76	23.31	20.82	27.12	26.42	-6249.75	4.26	15.000	0.00	1.655	-1.500	26.73	29.68	27.01	29.68	28.40	28.54	26.43	27.19	28.22
14.17	3.25	13.764	-1.438	31.75	-69.50	-6776.52	-6002.11	-27.54	0.83	0.01	1.13	1.666	25.66	-0.00	32.66	-0.03	22.80	23.36	20.84	27.11	26.42	-6249.75	4.36	15.000	0.00	1.655	-1.500	26.71	29.67	27.02	29.68	28.40	28.56	26.45	27.19	28.22
14.18	3.27	13.823	-1.441	31.75	-49.70	-6835.25	-5972.66	-63.97	6.84	0.01	1.14	1.672	25.41	0.00	33.15	-0.04	22.76	23.32	20.81	27.11	26.45	-6249.75	4.36	15.000	0.00	1.655	-1.500	26.71	29.66	27.03	29.67	28.40	28.58	26.46	27.18	28.23
14.19	3.25	13.868	-1.447	31.74	-27.17	-6835.86	-5973.25	-68.73	11.62	0.00	1.14	1.675	25.54	-0.00	32.80	-0.03	22.74	23.31	20.76	27.14	26.48	-6249.75	4.46	15.000	0.00	1.655	-1.500	26.73	29.65	27.03	29.66	28.40	28.60	26.48	27.18	28.24
14.20	3.27	13.924	-1.448	31.73	-24.12	-6790.69	-6003.59	-45.27	9.63	0.00	1.13	1.675	25.54	0.00	32.98	-0.04	22.76	23.30	20.74	27.12	26.50	-6249.75	4.46	15.000	0.00	1.655	-1.500	26.71	29.64	27.04	29.65	28.41	28.62	26.50	27.17	28.25
