TIRF Data File: Project 1792; Run 41; ISO False; ID SNq3YGs
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	RE	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	cm	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c								
1348.35	3.22	13.532	-1.393	31.01	-93.02	-10207.39	-5901.35	42.86	72.11	0.02	1.73	24.24	25.42	32.62	59.60	63.12	97.72	76.51	25.90	-6249.75	3.99	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.36	3.18	13.571	-1.392	31.00	-88.19	-10153.41	-5928.61	59.31	72.06	0.01	1.71	24.25	25.17	32.55	59.68	62.92	97.67	76.51	25.92	-6249.75	4.09	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.37	3.20	13.623	-1.403	30.99	-84.46	-10111.52	-5955.95	71.78	72.98	0.01	1.70	24.24	25.29	32.58	59.70	62.75	97.61	76.51	25.92	-6249.75	4.09	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.38	3.20	13.674	-1.413	30.99	-87.15	-10100.35	-5960.98	64.89	72.06	0.01	1.69	24.22	25.05	32.89	59.67	62.58	97.49	76.54	25.91	-6249.75	4.17	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.39	3.20	13.722	-1.428	30.99	-88.59	-10123.56	-5946.74	39.78	72.82	0.01	1.70	24.21	25.05	32.88	59.64	62.42	97.34	76.52	25.88	-6249.75	4.17	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.40	3.18	13.776	-1.432	30.98	-81.91	-10149.80	-5915.42	1.41	77.45	0.01	1.72	24.22	25.17	32.52	59.54	62.15	97.19	76.51	25.84	-6249.75	4.26	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.41	3.16	13.826	-1.444	30.97	-65.04	-10143.37	-5895.24	-25.56	84.29	0.01	1.72	24.21	24.93	32.64	59.39	61.86	97.04	76.47	25.80	-6249.75	4.26	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.42	3.14	13.880	-1.439	30.96	-50.89	-10090.68	-5926.85	-26.35	88.82	0.01	1.70	24.22	24.68	32.76	59.25	61.56	96.83	76.39	25.75	-6249.75	4.36	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.43	3.16	13.927	-1.444	30.96	-50.13	-9998.95	-5989.79	-5.79	87.34	0.01	1.67	24.21	24.56	33.12	59.12	61.29	96.65	76.36	25.69	-6249.75	4.36	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.44	3.16	13.976	-1.439	30.95	-63.63	-9907.83	-6052.49	17.46	80.25	0.01	1.64	24.24	24.44	33.27	58.88	60.99	96.43	76.36	25.63	-6249.75	4.46	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.45	3.16	14.009	-1.447	30.94	-84.19	-9845.83	-6098.24	39.53	71.23	0.01	1.61	24.26	24.68	32.94	58.64	60.71	96.17	76.44	25.56	-6249.75	4.46	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.46	3.14	14.070	-1.452	30.94	-102.53	-9831.79	-6122.70	52.18	64.81	0.02	1.61	24.26	24.56	32.90	58.44	60.36	95.85	76.52	25.52	-6249.75	4.55	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.47	3.16	14.108	-1.464	30.93	-116.51	-9874.28	-6137.93	60.44	60.67	0.02	1.61	24.26	24.32	33.42	58.19	60.02	95.53	76.57	25.49	-6249.75	4.55	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.48	3.10	14.149	-1.464	30.92	-125.94	-9958.19	-6138.32	54.55	57.69	0.02	1.62	24.25	24.32	32.82	57.90	59.63	95.24	76.64	25.45	-6249.75	4.65	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.49	3.10	14.190	-1.478	30.92	-130.54	-10067.63	-6114.35	31.50	54.43	0.02	1.65	24.24	24.07	33.15	57.61	59.24	94.94	76.64	25.42	-6249.75	4.65	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.50	3.14	14.237	-1.496	30.92	-123.36	-10173.41	-6067.55	-1.65	53.03	0.02	1.68	24.26	24.68	32.71	57.30	58.88	94.52	76.65	25.38	-6249.75	4.75	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.51	3.12	14.273	-1.483	30.90	-114.25	-10248.29	-6036.00	-20.60	50.83	0.02	1.70	24.24	24.20	33.17	56.96	58.55	94.24	76.65	25.35	-6249.75	4.75	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.52	3.14	14.310	-1.490	30.90	-108.35	-10294.54	-6031.46	-19.23	47.64	0.02	1.71	24.23	24.44	33.03	56.64	58.29	93.88	76.68	25.35	-6249.75	4.84	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.53	3.16	14.337	-1.491	30.89	-115.56	-10319.44	-6062.15	3.26	42.42	0.02	1.70	24.21	24.68	32.89	56.35	57.99	93.56	76.78	25.34	-6249.75	4.84	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.54	3.16	14.361	-1.487	30.88	-135.83	-10355.43	-6089.38	21.52	36.80	0.02	1.70	24.21	24.81	32.73	56.01	57.75	93.21	76.90	25.36	-6249.75	4.94	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.55	3.14	14.390	-1.486	30.87	-162.71	-10406.27	-6103.56	29.98	32.64	0.03	1.70	24.22	24.68	32.69	55.72	57.50	92.85	76.98	25.38	-6249.75	4.94	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.56	3.14	14.418	-1.500	30.87	-186.45	-10457.51	-6095.17	27.85	30.05	0.03	1.72	24.23	25.05	32.21	55.37	57.25	92.50	77.06	25.41	-6249.75	5.04	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.57	3.22	14.447	-1.493	30.85	-205.05	-10483.12	-6095.63	29.57	27.65	0.03	1.72	24.22	24.93	33.13	55.11	56.92	92.12	77.11	25.43	-6249.75	5.04	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.58	3.22	14.465	-1.490	30.85	-208.82	-10475.18	-6106.49	36.30	27.28	0.03	1.72	24.23	25.29	32.65	54.84	56.58	91.80	77.15	25.46	-6249.75	5.13	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.59	3.25	14.488	-1.487	30.84	-197.25	-10444.82	-6118.98	42.80	28.74	0.03	1.71	24.24	25.54	32.71	54.57	56.27	91.45	77.19	25.48	-6249.75	5.13	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.60	3.25	14.506	-1.487	30.83	-177.96	-10417.17	-6122.56	38.24	31.57	0.03	1.70	24.26	25.90	32.24	54.26	56.04	91.16	77.14	25.49	-6249.75	5.23	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.61	3.27	14.519	-1.487	30.82	-159.74	-10402.08	-6121.54	27.75	35.06	0.03	1.70	24.27	26.03	32.28	54.03	55.88	90.96	77.07	25.52	-6249.75	5.23	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.62	3.29	14.532	-1.489	30.81	-150.02	-10397.38	-6133.05	24.82	37.04	0.02	1.70	24.29	26.27	32.16	53.84	55.72	90.77	76.98	25.54	-6249.75	5.33	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.63	3.33	14.545	-1.487	30.81	-148.79	-10391.79	-6164.87	29.63	38.07	0.02	1.69	24.26	26.39	32.37	53.58	55.61	90.69	76.80	25.57	-6249.75	5.33	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.64	3.35	14.566	-1.484	30.80	-147.87	-10386.21	-6206.06	39.26	40.51	0.02	1.67	24.24	26.88	31.96	53.34	55.54	90.54	76.62	25.59	-6249.75	5.42	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.65	3.40	14.570	-1.484	30.79	-142.66	-10390.85	-6236.41	42.55	44.89	0.02	1.67	24.22	27.13	32.20	53.26	55.48	90.34	76.39	25.62	-6249.75	5.42	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.66	3.38	14.595	-1.490	30.79	-130.86	-10405.61	-6248.50	37.27	50.30	0.02	1.67	24.21	27.49	31.59	53.18	55.49	90.13	76.22	25.64	-6249.75	5.52	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.67	3.44	14.605	-1.489	30.78	-121.74	-10427.78	-6256.51	31.82	53.50	0.02	1.67	24.21	27.37	32.26	53.05	55.51	89.91	75.97	25.64	-6249.75	5.52	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.68	3.46	14.604	-1.487	30.78	-121.01	-10448.13	-6252.82	27.81	54.26	0.02	1.67	24.21	27.74	32.00	52.99	55.50	89.81	75.73	25.63	-6249.75	5.62	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.69	3.53	14.615	-1.487	30.77	-134.02	-10463.80	-6250.91	28.87	51.93	0.02	1.67	24.22	28.10	32.27	52.94	55.39	89.86	75.49	25.60	-6249.75	5.62	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.70	3.55	14.628	-1.489	30.76	-144.30	-10473.85	-6247.23	29.54	50.97	0.02	1.68	24.21	28.59	31.88	52.89	55.24	89.93	75.24	25.57	-6249.75	5.71	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.71	3.61	14.633	-1.493	30.76	-143.99	-10474.32	-6250.35	28.03	53.01	0.02	1.68	24.22	28.96	31.97	52.83	55.13	90.04	75.08	25.57	-6249.75	5.71	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.72	3.64	14.644	-1.489	30.75	-129.60	-10470.41	-6270.49	30.11	58.35	0.02	1.67	24.22	29.08	32.17	52.78	55.08	90.18	74.95	25.57	-6249.75	5.81	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1348.73	3.72	14.661	-1.487	30.75	-110.26	-10463.79	-6299.39	31.23	65.07	0.02	1.66	24.22	29.69	32.15	52.75	55.09	90.31	74.81	25.54	-6249.75	5.81	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
