TIRF Data File: Project 1792; Run 42; ISO False; ID Ufy_hzq
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	RE	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	cm	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c								
1333.64	3.16	13.557	-1.392	31.02	-68.48	-10358.86	-5907.94	63.85	67.57	0.01	1.75	24.31	25.22	32.30	58.35	62.45	96.60	78.81	25.35	-6249.75	3.99	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.65	3.18	13.605	-1.400	31.01	-62.81	-10349.32	-5937.17	80.07	69.93	0.01	1.74	24.32	24.98	32.80	58.51	62.57	96.65	78.82	25.31	-6249.75	3.99	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.66	3.20	13.667	-1.415	31.01	-60.11	-10376.91	-5959.18	80.63	71.92	0.01	1.74	24.33	24.86	33.15	58.57	62.66	96.65	78.82	25.29	-6249.75	4.09	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.67	3.18	13.707	-1.425	31.00	-69.22	-10450.26	-5964.27	58.35	70.68	0.01	1.75	24.35	24.86	32.95	58.73	62.70	96.65	78.76	25.28	-6249.75	4.09	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.68	3.16	13.756	-1.428	31.00	-70.56	-10540.23	-5947.02	20.50	72.54	0.01	1.77	24.35	24.98	32.59	58.80	62.77	96.63	78.72	25.29	-6249.75	4.17	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.69	3.18	13.805	-1.434	30.99	-60.72	-10621.77	-5917.87	-16.09	76.82	0.01	1.79	24.35	25.10	32.61	58.88	62.79	96.60	78.59	25.30	-6249.75	4.17	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.70	3.16	13.861	-1.441	30.98	-44.43	-10663.17	-5916.87	-23.83	81.42	0.01	1.80	24.38	24.98	32.57	58.98	62.79	96.55	78.53	25.31	-6249.75	4.26	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.71	3.16	13.911	-1.444	30.98	-34.16	-10663.43	-5944.65	-6.62	83.02	0.01	1.79	24.38	25.10	32.41	59.01	62.78	96.46	78.51	25.32	-6249.75	4.26	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.72	3.14	13.953	-1.448	30.97	-38.79	-10641.19	-5988.47	22.32	79.66	0.01	1.78	24.38	24.98	32.37	59.04	62.72	96.40	78.47	25.34	-6249.75	4.36	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
