TIRF Data File: Project 1792; Run 43; ISO False; ID B6CAXC0
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	RE	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	cm	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c								
1333.64	3.07	13.538	-1.406	30.53	-56.91	-10575.99	-5936.85	50.39	67.65	0.01	1.78	24.34	24.77	31.92	54.61	58.00	91.27	73.95	25.55	-6249.75	3.99	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.65	3.10	13.589	-1.412	30.52	-61.83	-10624.50	-5941.17	25.63	66.39	0.01	1.79	24.33	24.65	32.46	54.60	58.00	91.32	73.97	25.53	-6249.75	3.99	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.66	3.10	13.639	-1.418	30.52	-61.64	-10680.76	-5915.43	-16.93	65.92	0.01	1.81	24.35	24.77	32.29	54.52	58.00	91.32	74.05	25.54	-6249.75	4.09	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.67	3.08	13.702	-1.429	30.51	-52.50	-10714.11	-5896.44	-47.16	68.48	0.01	1.82	24.35	24.77	32.09	54.48	58.05	91.32	74.18	25.57	-6249.75	4.09	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.68	3.10	13.747	-1.431	30.51	-41.08	-10711.47	-5904.87	-50.86	72.70	0.01	1.81	24.34	24.65	32.44	54.45	58.10	91.32	74.34	25.59	-6249.75	4.17	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.69	3.10	13.795	-1.434	30.50	-34.72	-10685.83	-5941.93	-27.85	76.78	0.01	1.80	24.35	24.53	32.59	54.42	58.16	91.37	74.52	25.61	-6249.75	4.17	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.70	3.08	13.842	-1.441	30.49	-39.99	-10658.79	-5981.33	3.19	78.41	0.01	1.78	24.35	24.77	32.07	54.42	58.22	91.40	74.74	25.61	-6249.75	4.26	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.71	3.12	13.895	-1.436	30.48	-43.14	-10645.00	-6013.50	26.78	79.06	0.01	1.77	24.35	24.65	32.61	54.39	58.32	91.50	74.89	25.60	-6249.75	4.26	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.72	3.10	13.941	-1.434	30.47	-44.60	-10636.80	-6032.55	42.32	78.51	0.01	1.76	24.34	24.77	32.25	54.40	58.37	91.49	75.11	25.61	-6249.75	4.36	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
